Timestamp (S),Arc Main Current (A),Arc Main Voltage (V),Arc Main Energy (J)
6.49975,0.001910939,,0.03270278
6.5,0.002051426,2.981,0.03270431
6.50025,0.002040246,,0.03270584
6.5005,0.001921436,,0.03270728
6.50075,0.001774376,,0.03270861
6.501,0.001645159,2.999,0.03270985
6.50125,0.001568608,,0.03271103
6.5015,0.001613155,,0.03271225
6.50175,0.001669238,,0.0327135
6.502,0.001699424,3.014,0.03271478
6.50225,0.001600375,,0.03271599
6.5025,0.001475899,,0.03271711
6.50275,0.001324487,,0.03271811
6.503,0.001165012,3.023,0.03271899
6.50325,0.001012172,,0.03271975
6.5035,0.000873729,,0.03272041
6.50375,0.000754426,,0.03272098
6.504,0.000656159,3.02,0.03272148
6.50425,0.000531484,,0.03272188
6.5045,0.000513873,,0.03272226
6.50475,0.000527208,,0.03272266
6.505,0.000561011,3.002,0.03272308
6.50525,0.000614626,,0.03272354
6.5055,0.000631715,,0.032724
6.50575,0.000672318,,0.0327245
6.506,0.000766266,2.969,0.03272507
6.50625,0.001162516,,0.03272594
6.5065,0.001432776,,0.032727
6.50675,0.001698243,,0.03272827
6.507,0.001913615,2.977,0.03272969
6.50725,0.002080455,,0.03273125
6.5075,0.002024609,,0.03273277
6.50775,0.001908452,,0.03273419
6.508,0.001779226,2.995,0.03273553
6.50825,0.001638572,,0.03273676
6.5085,0.001640835,,0.032738
6.50875,0.001665346,,0.03273925
6.509,0.001685989,3.011,0.03274052
6.50925,0.001682677,,0.03274179
6.5095,0.001644855,,0.03274303
6.50975,0.001572727,,0.03274422
6.51,0.001344333,3.022,0.03274524
6.51025,0.001203693,,0.03274615
6.5105,0.001058412,,0.03274695
6.51075,0.000919035,,0.03274764
6.511,0.0007937,3.023,0.03274824
6.51125,0.000607337,,0.0327487
6.5115,0.00055851,,0.03274912
6.51175,0.000542783,,0.03274953
6.512,0.000551719,3.009,0.03274994
6.51225,0.000578209,,0.03275037
6.5125,0.000583362,,0.0327508
6.51275,0.000598671,,0.03275125
6.513,0.000644661,2.974,0.03275173
6.51325,0.000904945,,0.0327524
6.5135,0.001126525,,0.03275324
6.51375,0.001385268,,0.03275427
6.514,0.001642686,2.972,0.03275549
6.51425,0.001991822,,0.03275698
6.5145,0.002030755,,0.03275849
6.51475,0.001983679,,0.03275998
6.515,0.001887102,2.99,0.03276139
6.51525,0.001707933,,0.03276267
6.5155,0.001663704,,0.03276392
6.51575,0.001650089,,0.03276516
6.516,0.001657056,3.008,0.03276641
6.51625,0.001673903,,0.03276767
6.5165,0.001684689,,0.03276895
6.51675,0.001673376,,0.03277021
6.517,0.001626741,3.02,0.03277144
6.51725,0.001406125,,0.0327725
6.5175,0.001247646,,0.03277344
6.51775,0.001081998,,0.03277426
6.518,0.000927819,3.023,0.03277496
6.51825,0.000703221,,0.03277549
6.5185,0.000643669,,0.03277598
6.51875,0.000616429,,0.03277644
6.519,0.000609463,3.013,0.0327769
6.51925,0.000599483,,0.03277735
6.5195,0.000587007,,0.03277779
6.51975,0.000579903,,0.03277822
6.52,0.000590685,2.983,0.03277866
6.52025,0.000732449,,0.0327792
6.5205,0.000895554,,0.03277987
6.52075,0.001123593,,0.0327807
6.521,0.001395319,2.968,0.03278174
6.52125,0.001909733,,0.03278316
6.5215,0.002068098,,0.0327847
6.52175,0.00212774,,0.03278629
6.522,0.002093116,2.985,0.03278785
6.52225,0.001989027,,0.03278935
6.5225,0.001847296,,0.03279073
6.52275,0.001699415,,0.03279201
6.523,0.001579945,3.002,0.03279319
6.52325,0.001523933,,0.03279434
6.5235,0.001580856,,0.03279553
6.52375,0.00165334,,0.03279678
6.524,0.00169792,3.016,0.03279806
6.52425,0.001597376,,0.03279927
6.5245,0.001451236,,0.03280037
6.52475,0.001271536,,0.03280133
6.525,0.001088978,3.024,0.03280215
6.52525,0.000795081,,0.03280275
6.5255,0.000699553,,0.03280328
6.52575,0.000635592,,0.03280376
6.526,0.000596251,3.016,0.03280421
6.52625,0.000566435,,0.03280463
6.5265,0.000573335,,0.03280506
6.52675,0.000593926,,0.0328055
6.527,0.000618285,2.995,0.03280597
6.52725,0.000672645,,0.03280647
6.5275,0.000728543,,0.03280701
6.52775,0.000828091,,0.03280763
6.528,0.0009805,2.974,0.03280835
6.52825,0.001175485,,0.03280923
6.5285,0.001388201,,0.03281027
6.52875,0.001582465,,0.03281145
6.529,0.00172413,2.985,0.03281273
6.52925,0.001780858,,0.03281407
6.5295,0.001704203,,0.03281535
6.52975,0.001586997,,0.03281654
6.53,0.001463878,2.999,0.03281764
6.53025,0.001328103,,0.03281864
6.5305,0.00133096,,0.03281964
6.53075,0.001356685,,0.03282066
6.531,0.001377732,3.013,0.0328217
6.53125,0.001332934,,0.0328227
6.5315,0.001259439,,0.03282365
6.53175,0.001160447,,0.03282453
6.532,0.001047607,3.02,0.03282532
6.53225,0.000808302,,0.03282593
6.5325,0.00069494,,0.03282646
6.53275,0.000592626,,0.0328269
6.533,0.000507652,3.015,0.03282728
6.53325,0.0004106,,0.03282759
6.5335,0.00041004,,0.0328279
6.53375,0.000439026,,0.03282823
6.534,0.000482234,2.997,0.03282859
6.53425,0.000524294,,0.03282898
6.5345,0.000565201,,0.0328294
6.53475,0.000620425,,0.03282986
6.535,0.000877692,2.963,0.03283051
6.53525,0.001103633,,0.03283133
6.5355,0.001375981,,0.03283235
6.53575,0.001659082,,0.03283358
6.536,0.001908471,2.972,0.032835
6.53625,0.002170255,,0.03283662
6.5365,0.002158135,,0.03283824
6.53675,0.002069218,,0.03283978
6.537,0.001944898,2.992,0.03284124
6.53725,0.00176814,,0.03284257
6.5375,0.001751735,,0.03284389
6.53775,0.001766057,,0.03284522
